PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;321395.75;0.250;4; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2240081.00;1.000;20; ;PROFESIONAL A EN CATALOGACIÓN                                                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;1547448.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR EXBECARIO MAESTRIA            ;1601545.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1329787.00;1.000;22; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;950687.50;0.500;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;160916.95;0.125;16; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO A;1117576.00;1.000;22; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2336240.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3136453.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4151626.85;1.000;21; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1723448.00;1.000;22; ;TÉCNICO EN MECÁNICA DE PRECISIÓN Y SOLDADURA                                                                                                                                                                                                                    
PROFESIONAL C;2335732.00;1.000;15; ;PROFESIONAL EN AUDITORÍA TÉCNICA                                                                                                                                                                                                                                
PROFESOR PROFESOR SEP CONTRACTUAL      ;176785.80;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2491181.00;1.000;12; ;PROFESIONAL EN PRODUCCIÓN DE AGUA INYECTABLE Y LIOFILIZACIÓN DE ANTIVENENOS                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;410647.65;0.500;7;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;221490.90;0.375;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;652373.15;0.427;14; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2632367.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;13;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3356367.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1908360.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;2927553.50;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;661754.00;0.500;10; ;PUESTO NO ADMINISTRATIVO 
