position,salary,hours,years,respon,salq,years_cut,time
PROFESOR INSTRUCTOR                    ,1573374.9,7/8 de tiempo,21,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO A,1656956.0,Tiempo Completo,34,EBANISTA                                                                                                                                                                                                                                                        ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR EXBECARIO DOCTORADO           ,3263189.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1393617.0,Tiempo Completo,26,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,2742686.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,2130279.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3086057.4,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2882509.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL A,2403952.0,Tiempo Completo,24,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4197050.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL C,3294707.0,Tiempo Completo,31,PROFESIONAL COORDINADOR DE DESARROLLO Y MANTENIMIENTO DE TIC                                                                                                                                                                                                    ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5429031.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3973851.95,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,3089832.0,Tiempo Completo,36,PENDIENTE.                                                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO B,1838871.0,Tiempo Completo,37,TÉCNICO EN APOYO A LOS PROCESOS DE DOCENCIA DE SEDE DEL ATLÁNTICO                                                                                                                                                                                               ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,1943404.0,1/2 tiempo,33,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3422295.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,1835542.0,Tiempo Completo,26,TÉCNICO EN APOYO A LA DIRECCIÓN DE MEGAPROYECTOS                                                                                                                                                                                                                ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1021713.0,3/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,836428.9,1/2 tiempo,27,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3638445.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5556123.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4350855.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,2022423.9,5/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2599660.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
JEFE B,3770834.0,Tiempo Completo,28,JEFE DE GESTIÓN DE COMISIONES Y MEJORAMIENTO CONTINUO                                                                                                                                                                                                           ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1944167.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5888469.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO B,1293603.0,Tiempo Completo,30,PENDIENTE                                                                                                                                                                                                                                                       ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1612337.5,7/8 de tiempo,15,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,497184.75,1/4 de tiempo,17,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,3346885.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,1540469.0,Tiempo Completo,25,TÉCNICO EN APOYO A ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO C,1602561.0,Tiempo Completo,26,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,483853.25,1/4 de tiempo,34,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1732465.85,7/8 de tiempo,21,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,694385.55,3/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1432842.8,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,1253434.0,Tiempo Completo,23,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2243189.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL A,1517428.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1649664.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,6304720.0,Tiempo Completo,43,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(40.0, 50.0]",2020-08-01
PROFESIONAL A,2166621.0,Tiempo Completo,18,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,32,TÉCNICO DE LABORATORIO DE PRODUCTOS FORESTALES                                                                                                                                                                                                                  ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
DECANO,4613371.0,Tiempo Completo,33,PROFESIONAL EN MICROBIOLOGÍA                                                                                                                                                                                                                                    ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1741225.0,Tiempo Completo,27,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1021713.0,3/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL D,3833047.0,Tiempo Completo,29,PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1260385.7,5/8 de tiempo,23,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,368989.85,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
JEFE B,3974922.0,Tiempo Completo,32,JEFE DE PROYECTOS DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                 ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,2038445.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
